Line,Purpose,Trait,Field_experiment
2MS16_4142-005,Experimental,DON_high_Vg,FHB
2MS16_4142-006,Experimental,DON_high_Vg,FHB
2MS16_4142-007,Experimental,DON_high_Vg,FHB
2MS16_4142-008,Experimental,DON_high_Vg,FHB
2MS16_4142-009,Experimental,DON_high_Vg,FHB
2MS16_4142-010,Experimental,DON_high_Vg,FHB
2MS16_4142-011,Experimental,DON_high_Vg,FHB
2MS16_4142-012,Experimental,DON_high_Vg,FHB
2MS16_4142-013,Experimental,DON_high_Vg,FHB
2MS16_4142-014,Experimental,DON_high_Vg,FHB
2MS16_4142-015,Experimental,DON_high_Vg,FHB
2MS16_4142-016,Experimental,DON_high_Vg,FHB
2MS16_4142-017,Experimental,DON_high_Vg,FHB
2MS16_4142-018,Experimental,DON_high_Vg,FHB
2MS16_4142-019,Experimental,DON_high_Vg,FHB
2MS16_4142-020,Experimental,DON_high_Vg,FHB
2MS16_4142-021,Experimental,DON_high_Vg,FHB
2MS16_4142-022,Experimental,DON_high_Vg,FHB
2MS16_4142-023,Experimental,DON_high_Vg,FHB
2MS16_4142-024,Experimental,DON_high_Vg,FHB
2MS16_4142-025,Experimental,DON_high_Vg,FHB
2MS16_4142-026,Experimental,DON_high_Vg,FHB
2MS16_4142-027,Experimental,DON_high_Vg,FHB
2MS16_4142-028,Experimental,DON_high_Vg,FHB
2MS16_4142-029,Experimental,DON_high_Vg,FHB
2MS16_4142-030,Experimental,DON_high_Vg,FHB
2MS16_4142-031,Experimental,DON_high_Vg,FHB
2MS16_4142-032,Experimental,DON_high_Vg,FHB
2MS16_4142-033,Experimental,DON_high_Vg,FHB
